method,collision_system,episodes,first_window,last_window,last_minus_first,relative_change_percent,decreased_episodes,unchanged_episodes,increased_episodes
EPOM-L,block_both,48,1.7675374348958333,1.3798421223958333,-0.3876953125,-21.934206588549465,38,0,10
EPOM-L,soft,48,2.8922526041666665,2.2480875651041665,-0.6441650390625,-22.272087788407426,42,0,6
CAAR,block_both,48,1.8980712890625,1.4763997395833333,-0.42167154947916674,-22.215790940467773,36,0,12
CAAR,soft,48,2.9654541015625,2.26513671875,-0.7003173828125,-23.615856419544723,45,0,3
SRSLM,block_both,48,2.24609375,1.72900390625,-0.51708984375,-23.02173913043478,44,0,4
SRSLM,soft,48,3.2528483072916665,2.5103759765625,-0.7424723307291665,-22.82529834129744,44,0,4
